homepage,recent_post
https://climateaudit.org,https://climateaudit.org/2012/07/19/cru-server-returned/
https://wattsupwiththat.com/,https://wattsupwiththat.com/2017/07/23/study-sea-level-rise-revised-downward/
http://joannenova.com.au/,http://joannenova.com.au/2016/11/us-election-results/
https://nofrakkingconsensus.com/,https://nofrakkingconsensus.com/2013/05/18/wwf-gets-into-bed-with-oppressive-dictatorship/
http://junkscience.com/,
https://judithcurry.com/,https://judithcurry.com/2016/02/06/week-in-review-energy-edition-2/
http://www.c3headlines.com/,http://www.c3headlines.com/2014/01/global-cooling-central-england-experts-wrong-those-stubborn-facts-warming.html?no_prefetch=1
http://algorelied.com/,http://algorelied.com/?p=2529
https://hypsithermal.wordpress.com/,https://hypsithermal.wordpress.com/2008/02/16/wheat-stores-at-60-year-low-wheat-hits-20-per-bushel/
https://hauntingthelibrary.wordpress.com/,
https://co2insanity.com/,https://co2insanity.com/2010/10/18/look-whos-leaving-california/
http://www.climate-skeptic.com/,http://www.climate-skeptic.com/2009/06/gcci-report-2-climate-must-be-dead-stable-without-man.html
https://anhonestclimatedebate.wordpress.com/,https://anhonestclimatedebate.wordpress.com/2009/10/08/save-the-planet-pee-before-you-fly/
https://climatenonconformist.wordpress.com/,https://climatenonconformist.wordpress.com/2011/08/22/democracy-in-action/
http://www.paulmacrae.com/,
http://www.kiwithinker.com/,
https://diggingintheclay.wordpress.com/,https://diggingintheclay.wordpress.com/2009/12/13/a-tale-of-two-datasets-part-2-oh-caroline/
https://notalotofpeopleknowthat.wordpress.com/,https://notalotofpeopleknowthat.wordpress.com/2017/04/27/extreme-weather-1971-style/
https://thepointman.wordpress.com/,https://thepointman.wordpress.com/2012/05/11/what-im-going-to-say-will-upset-a-few-people/
https://nigguraths.wordpress.com/,
https://australianclimatemadness.com/,https://australianclimatemadness.com/2012/08/01/adelaides-coldest-august-morning-in-13-years/
https://noconsensus.wordpress.com/,https://noconsensus.wordpress.com/2011/11/21/great-white-hunter/
https://autonomousmind.wordpress.com/,https://autonomousmind.wordpress.com/2013/06/03/blinkered-bloody-minded-and-justified/
https://bobtisdale.wordpress.com/,https://bobtisdale.wordpress.com/2014/09/08/august-2014-sea-surface-temperature-sst-anomaly-update/
https://chiefio.wordpress.com/,https://chiefio.wordpress.com/2016/09/03/de-politicizing-doj/
https://rhinohide.wordpress.com/,
https://hiizuru.wordpress.com/,
https://scienceofdoom.com/,
https://pielkeclimatesci.wordpress.com/,https://pielkeclimatesci.wordpress.com/2012/01/06/qa-on-two-climate-science-questions-a-contribution-by-bill-parton/
https://stevemosher.wordpress.com/,
https://statpad.wordpress.com,
https://tallbloke.wordpress.com,https://tallbloke.wordpress.com/2017/02/09/blue-lightning-shooting-upward-filmed-from-space-for-the-first-time/
