,homepage,class
1,http://agw-heretic.blogspot.com/,ModernBlogspot
3,http://allrightallright.blogspot.com/,ModernBlogspot
9,http://climatecontrarian.blogspot.co.uk/,ModernBlogspot
10,http://climateedinburgh.blogspot.com/,ModernBlogspot
11,http://climateguy.blogspot.com/,ModernBlogspot
12,http://climatelessons.blogspot.com/,ModernBlogspot
13,http://climatesense-norpag.blogspot.com/,ModernBlogspot
16,http://devconsultancygroup.blogspot.com/,ModernBlogspot
17,http://factsnotfantasy.blogspot.com/,ModernBlogspot
18,http://friendsofco2.blogspot.com/,ModernBlogspot
19,http://globalsham.blogspot.com/,ModernBlogspot
20,http://gustofhotair.blogspot.com/,ModernBlogspot
22,http://hockeyschtick.blogspot.com/,ModernBlogspot
24,http://impactofcc.blogspot.com/,ModernBlogspot
25,http://itsfaircomment-climategate.blogspot.com/,ModernBlogspot
27,http://jer-skepticscorner.blogspot.com/,ModernBlogspot
29,http://julesandjames.blogspot.com/,ModernBlogspot
31,http://klimazwiebel.blogspot.com/,ModernBlogspot
32,http://leastthing.blogspot.com/,ModernBlogspot
33,http://newnostradamusofthenorth.blogspot.com/,ModernBlogspot
36,http://petesplace-peter.blogspot.com/,ModernBlogspot
38,http://rogerpielkejr.blogspot.com/,ModernBlogspot
39,http://scientificqa.blogspot.co.uk/,ModernBlogspot
42,http://tomnelson.blogspot.com/,ModernBlogspot
51,http://www.climatecommonsense2.com/,ModernBlogspot
61,http://www.mikesmithenterprisesblog.com/,ModernBlogspot
64,http://www.populartechnology.net/,ModernBlogspot
96,https://moyhu.blogspot.com/,ModernBlogspot
