,homepage,class
14,http://clivebest.com/,ModernWordpress
30,http://junkscience.com/,ModernWordpress
35,http://omnologos.com/,ModernWordpress
43,http://wmbriggs.com/,ModernWordpress
45,http://www.carbonfolly.com/,ModernWordpress
48,http://www.cgfi.org/,ModernWordpress
60,http://www.kiwithinker.com/,ModernWordpress
69,http://www.warwickhughes.com/blog/,ModernWordpress
70,https://3000quads.com/,ModernWordpress
73,https://australianclimatemadness.com/,ModernWordpress
75,https://bobtisdale.wordpress.com/,ModernWordpress
78,https://chiefio.wordpress.com/,ModernWordpress
79,https://climateaudit.org,ModernWordpress
80,https://climatenonconformist.wordpress.com/,ModernWordpress
81,https://climateofsophistry.com/,ModernWordpress
83,https://co2insanity.com/,ModernWordpress
85,https://defyccc.com/,ModernWordpress
86,https://diggingintheclay.wordpress.com/,ModernWordpress
87,https://geoffchambers.wordpress.com/,ModernWordpress
90,https://hauntingthelibrary.wordpress.com/,ModernWordpress
91,https://hiizuru.wordpress.com/,ModernWordpress
92,https://hro001.wordpress.com/,ModernWordpress
94,https://judithcurry.com/,ModernWordpress
97,https://nextgrandminimum.wordpress.com/,ModernWordpress
103,https://pielkeclimatesci.wordpress.com/,ModernWordpress
104,https://polarbearscience.com/,ModernWordpress
105,https://rclutz.wordpress.com/,ModernWordpress
108,https://skepticalswedishscientists.wordpress.com/,ModernWordpress
109,https://statpad.wordpress.com,ModernWordpress
111,https://stevengoddard.wordpress.com/,ModernWordpress
112,https://sunshinehours.net/,ModernWordpress
113,https://talkingabouttheweather.wordpress.com/,ModernWordpress
115,https://thelukewarmersway.wordpress.com/,ModernWordpress
117,https://thepompousgit.wordpress.com/,ModernWordpress
118,https://treesfortheforest.wordpress.com/,ModernWordpress
120,https://trustyetverify.wordpress.com,ModernWordpress
121,https://unsettledclimate.org/,ModernWordpress
122,https://wattsupwiththat.com/,ModernWordpress
124,https://www.iceagenow.info/,ModernWordpress
