,homepage,class
0,http://adognamedkyoto.blogspot.com/,StandardBlogspot
1,http://agw-heretic.blogspot.com/,StandardBlogspot
3,http://allrightallright.blogspot.com/,StandardBlogspot
4,http://antigreen.blogspot.com/,StandardBlogspot
10,http://climateedinburgh.blogspot.com/,StandardBlogspot
11,http://climateguy.blogspot.com/,StandardBlogspot
12,http://climatelessons.blogspot.com/,StandardBlogspot
13,http://climatesense-norpag.blogspot.com/,StandardBlogspot
16,http://devconsultancygroup.blogspot.com/,StandardBlogspot
17,http://factsnotfantasy.blogspot.com/,StandardBlogspot
18,http://friendsofco2.blogspot.com/,StandardBlogspot
19,http://globalsham.blogspot.com/,StandardBlogspot
20,http://gustofhotair.blogspot.com/,StandardBlogspot
21,http://hallofrecord.blogspot.com/,StandardBlogspot
22,http://hockeyschtick.blogspot.com/,StandardBlogspot
24,http://impactofcc.blogspot.com/,StandardBlogspot
25,http://itsfaircomment-climategate.blogspot.com/,StandardBlogspot
27,http://jer-skepticscorner.blogspot.com/,StandardBlogspot
29,http://julesandjames.blogspot.com/,StandardBlogspot
31,http://klimazwiebel.blogspot.com/,StandardBlogspot
32,http://leastthing.blogspot.com/,StandardBlogspot
33,http://newnostradamusofthenorth.blogspot.com/,StandardBlogspot
36,http://petesplace-peter.blogspot.com/,StandardBlogspot
38,http://rogerpielkejr.blogspot.com/,StandardBlogspot
39,http://scientificqa.blogspot.co.uk/,StandardBlogspot
42,http://tomnelson.blogspot.com/,StandardBlogspot
51,http://www.climatecommonsense2.com/,StandardBlogspot
61,http://www.mikesmithenterprisesblog.com/,StandardBlogspot
64,http://www.populartechnology.net/,StandardBlogspot
95,https://motls.blogspot.com/,StandardBlogspot
96,https://moyhu.blogspot.com/,StandardBlogspot
