,homepage,class
5,http://blog.heartland.org/,StandardWordpress
6,http://ccgi.newbery1.plus.com/blog/,StandardWordpress
8,http://climatechangepredictions.org/,StandardWordpress
14,http://clivebest.com/,StandardWordpress
15,http://co2coalition.org/,StandardWordpress
26,http://jennifermarohasy.com/,StandardWordpress
30,http://junkscience.com/,StandardWordpress
34,http://notrickszone.com/,StandardWordpress
35,http://omnologos.com/,StandardWordpress
40,http://scottishsceptic.co.uk/,StandardWordpress
43,http://wmbriggs.com/,StandardWordpress
45,http://www.carbonfolly.com/,StandardWordpress
47,http://www.cfact.org/,StandardWordpress
48,http://www.cgfi.org/,StandardWordpress
50,http://www.climate-skeptic.com/,StandardWordpress
56,http://www.globalclimatescam.com/,StandardWordpress
57,http://www.globalwarming.org/,StandardWordpress
58,http://www.heliogenic.net/,StandardWordpress
59,http://www.hi-izuru.org/,StandardWordpress
60,http://www.kiwithinker.com/,StandardWordpress
62,http://www.nocarbontax.com.au/,StandardWordpress
68,http://www.timworstall.com/,StandardWordpress
69,http://www.warwickhughes.com/blog/,StandardWordpress
70,https://3000quads.com/,StandardWordpress
73,https://australianclimatemadness.com/,StandardWordpress
74,https://autonomousmind.wordpress.com/,StandardWordpress
75,https://bobtisdale.wordpress.com/,StandardWordpress
78,https://chiefio.wordpress.com/,StandardWordpress
79,https://climateaudit.org,StandardWordpress
80,https://climatenonconformist.wordpress.com/,StandardWordpress
81,https://climateofsophistry.com/,StandardWordpress
83,https://co2insanity.com/,StandardWordpress
85,https://defyccc.com/,StandardWordpress
86,https://diggingintheclay.wordpress.com/,StandardWordpress
87,https://geoffchambers.wordpress.com/,StandardWordpress
90,https://hauntingthelibrary.wordpress.com/,StandardWordpress
91,https://hiizuru.wordpress.com/,StandardWordpress
92,https://hro001.wordpress.com/,StandardWordpress
94,https://judithcurry.com/,StandardWordpress
97,https://nextgrandminimum.wordpress.com/,StandardWordpress
103,https://pielkeclimatesci.wordpress.com/,StandardWordpress
104,https://polarbearscience.com/,StandardWordpress
105,https://rclutz.wordpress.com/,StandardWordpress
108,https://skepticalswedishscientists.wordpress.com/,StandardWordpress
109,https://statpad.wordpress.com,StandardWordpress
111,https://stevengoddard.wordpress.com/,StandardWordpress
112,https://sunshinehours.net/,StandardWordpress
113,https://talkingabouttheweather.wordpress.com/,StandardWordpress
115,https://thelukewarmersway.wordpress.com/,StandardWordpress
117,https://thepompousgit.wordpress.com/,StandardWordpress
118,https://treesfortheforest.wordpress.com/,StandardWordpress
120,https://trustyetverify.wordpress.com,StandardWordpress
121,https://unsettledclimate.org/,StandardWordpress
122,https://wattsupwiththat.com/,StandardWordpress
123,https://www.climateconversation.org.nz/,StandardWordpress
124,https://www.iceagenow.info/,StandardWordpress
