homepage,recent_post
https://climateaudit.org,https://climateaudit.org/2012/06/09/law-dome-in-the-neukom-south-american-network/
https://wattsupwiththat.com/,https://wattsupwiththat.com/2017/07/20/banishing-questions-andor-dissenting-viewpoints/
http://joannenova.com.au/,http://joannenova.com.au/2016/10/trump-is-the-molotov-cocktail-the-middle-classes-can-throw-at-the-establishment-sayth-michael-moore/
https://nofrakkingconsensus.com/,https://nofrakkingconsensus.com/2013/04/26/how-climate-scientists-think/
http://junkscience.com/,
https://judithcurry.com/,https://judithcurry.com/2016/01/17/week-in-review-water-edition/
http://www.c3headlines.com/,http://www.c3headlines.com/2013/12/the-democrats-obamacare-a-fiasco-liberals-progressives-own-part-13.html?no_prefetch=1
http://algorelied.com/,http://algorelied.com/?p=2460
https://hypsithermal.wordpress.com/,
https://hauntingthelibrary.wordpress.com/,
https://co2insanity.com/,https://co2insanity.com/2010/10/12/we-are-all-renegades-now-by-piers-corbyn/
http://www.climate-skeptic.com/,http://www.climate-skeptic.com/2009/04/numbers-divorced-from-reality.html
https://anhonestclimatedebate.wordpress.com/,https://anhonestclimatedebate.wordpress.com/2009/09/23/dr-vincent-gray-updates-global-warming-scam-paper-2/
https://climatenonconformist.wordpress.com/,https://climatenonconformist.wordpress.com/2011/08/11/their-say/
http://www.paulmacrae.com/,
http://www.kiwithinker.com/,
https://diggingintheclay.wordpress.com/,
https://notalotofpeopleknowthat.wordpress.com/,https://notalotofpeopleknowthat.wordpress.com/2017/04/20/macquarie-to-boost-u-k-green-bank-after-3-billion-purchase/
https://thepointman.wordpress.com/,https://thepointman.wordpress.com/2012/02/03/how-policies-get-dropped-and-positions-reversed/
https://nigguraths.wordpress.com/,
https://australianclimatemadness.com/,https://australianclimatemadness.com/2012/07/14/brendan-oneill-on-extreme-weather-hysteria/
https://noconsensus.wordpress.com/,https://noconsensus.wordpress.com/2011/10/11/free-thinking/
https://autonomousmind.wordpress.com/,https://autonomousmind.wordpress.com/2013/05/20/curious-creatures-these-defecting-tories/
https://bobtisdale.wordpress.com/,https://bobtisdale.wordpress.com/2014/08/11/july-2014-sea-surface-temperature-sst-anomaly-update/
https://chiefio.wordpress.com/,https://chiefio.wordpress.com/2016/07/23/where-to-get-older-linux-releases/
https://rhinohide.wordpress.com/,
https://hiizuru.wordpress.com/,
https://scienceofdoom.com/,
https://pielkeclimatesci.wordpress.com/,https://pielkeclimatesci.wordpress.com/2011/12/16/interesting-article-from-reason-com-on-the-relative-roles-of-climate-and-societal-influences-on-vulnerability/
https://stevemosher.wordpress.com/,
https://statpad.wordpress.com,
https://tallbloke.wordpress.com,https://tallbloke.wordpress.com/2017/01/29/study-relates-atlantic-hurricane-frequency-to-sunspot-activity/
https://thelukewarmersway.wordpress.com/,https://thelukewarmersway.wordpress.com/2015/05/19/climate-questions-that-never-get-answered/
https://3000quads.com/,
http://www.timworstall.com/,http://www.timworstall.com/2017/07/28/politicians-with-dodgy-tax-records-should-be-fired/
https://treesfortheforest.wordpress.com/,
http://www.theclimategatebook.com/,
https://skepticalswedishscientists.wordpress.com/,
https://hro001.wordpress.com/,https://hro001.wordpress.com/2011/06/01/suzukis-prediction-flounders-on-flaky-sea-lice-tales/
https://thepompousgit.wordpress.com/,
http://www.nocarbontax.com.au/,
https://deadmanturner.wordpress.com/,
http://climatechangedispatch.com/,
https://climateofsophistry.com/,
https://anhonestclimatedebate.wordpress.com/,https://anhonestclimatedebate.wordpress.com/2009/09/24/the-dog-ate-global-warming/
https://nextgrandminimum.wordpress.com/,https://nextgrandminimum.wordpress.com/2012/10/30/an-interesting-coincidence/
http://notrickszone.com/,http://notrickszone.com/2016/11/13/germany-manages-to-draft-watered-down-hollowed-out-climate-plan-for-marrakesh/
https://stevengoddard.wordpress.com/,https://stevengoddard.wordpress.com/2016/01/20/twenty-years-of-the-same-climate-stupid/
https://rclutz.wordpress.com/,https://rclutz.wordpress.com/2016/06/15/typical-arctic-melting-june-15/
http://clivebest.com/,http://clivebest.com/?p=56
https://sunshinehours.net/,https://sunshinehours.net/2016/06/27/sea-ice-extent-global-antarctic-and-arctic-day-178-2016/
https://trustyetverify.wordpress.com,https://trustyetverify.wordpress.com/2013/12/30/global-warming-will-intensify-drought-possibly-maybe-perhaps/
http://ccgi.newbery1.plus.com/blog/,
http://principia-scientific.org/,http://principia-scientific.org/international-earthquake-and-volcano-prediction-center-press-release/
https://geoffchambers.wordpress.com/,
http://scottishsceptic.co.uk/,http://scottishsceptic.co.uk/2016/01/08/zero-yes-0-of-respondents-thought-severe-storms-and-floods-caused-by-climate-change-would-finish-humans-off/
https://polarbearscience.com/,https://polarbearscience.com/2015/02/27/international-polar-bear-day-polar-bears-in-the-news-this-week/
http://www.heliogenic.net/,http://www.heliogenic.net/2010/01/16/how-will-californians-vote-in-november/
https://calderup.wordpress.com/,
http://www.climate-resistance.org/,http://www.climate-resistance.org/2009/09/may-the-farce-be-with-you.html
https://greenhellblog.com/,https://greenhellblog.com/2009/07/29/obama-osha-pick-supports-junk-science-in-courts-regulatory-agencies/
https://americanelephant.wordpress.com/,https://americanelephant.wordpress.com/2016/12/22/it-snowed-in-the-sahara-desert/
https://climatesanity.wordpress.com/,
https://enthusiasmscepticismscience.wordpress.com/,
https://talkingabouttheweather.wordpress.com/,
https://troyca.wordpress.com/,
http://www.hi-izuru.org/,http://www.hi-izuru.org/wp_blog/2014/12/a-peculiar-pause/
http://blog.heartland.org/,http://blog.heartland.org/2017/05/privatize-the-war-in-afghanistan/
https://defyccc.com/,
http://www.carlineconomics.com/,
