homepage,recent_post
http://tomnelson.blogspot.com/,http://tomnelson.blogspot.com/2016/09/dick-lindzen-cold-and-heat-extremes.html
https://motls.blogspot.com/,https://motls.blogspot.com/2017/09/theories-cant-secure-patents-copyrights.html
http://devconsultancygroup.blogspot.com/,http://devconsultancygroup.blogspot.com/2014/07/why-any-monsoon-revival-from-now-on-is.html
http://friendsofco2.blogspot.com/,http://friendsofco2.blogspot.com/2014/07/gone-at-last.html
http://agw-heretic.blogspot.com/,http://agw-heretic.blogspot.com/2010/03/sabbatical.html
http://globalsham.blogspot.com/,http://globalsham.blogspot.com/2011/09/hypocrite-gore-claims-86m-reality-17k.html
http://allrightallright.blogspot.com/,http://allrightallright.blogspot.com/2017/08/a-case-for-sergeant-beef.html
http://itsfaircomment-climategate.blogspot.com/,http://itsfaircomment-climategate.blogspot.com/2017/07/brexit-grenfell-tower-blood-on-their.html
http://klimazwiebel.blogspot.com/,http://klimazwiebel.blogspot.com/2017/02/on-klimazwiebel.html
https://moyhu.blogspot.com/,https://moyhu.blogspot.com/2017/09/august-global-surface-temperature-down.html
http://rogerpielkejr.blogspot.com/,http://rogerpielkejr.blogspot.com/2015/05/thanks-for-reading.html
http://hockeyschtick.blogspot.com/,http://hockeyschtick.blogspot.com/2017/02/change-would-be-healthy-at-us-climate.html
http://www.populartechnology.net/,http://www.populartechnology.net/2016/08/climate-change-energy-and-environment.html
http://impactofcc.blogspot.com/,http://impactofcc.blogspot.com/2015/10/gashoax.html
http://antigreen.blogspot.com/,http://antigreen.blogspot.com/2017/09/hurricane-irma-and-dubious-climate.html
http://www.mikesmithenterprisesblog.com/,http://www.mikesmithenterprisesblog.com/2017/09/quick-irma-update-335pm-cdt.html
http://newnostradamusofthenorth.blogspot.com/,http://newnostradamusofthenorth.blogspot.com/2017/03/leo-mckinstry-eu-is-stuck-in-permanent.html
http://climatecontrarian.blogspot.co.uk/,http://climatecontrarian.blogspot.co.uk/2017/08/actual-climate-scientist-michael-tobis.html
http://jer-skepticscorner.blogspot.com/,http://jer-skepticscorner.blogspot.com/2014/12/global-warming-play-doh-theory.html
http://climatesense-norpag.blogspot.com/,http://climatesense-norpag.blogspot.com/2017/08/natural-cycles-drive-climate-change.html
http://julesandjames.blogspot.com/,http://julesandjames.blogspot.com/2017/09/encyclopedia-of-geosciences.html
http://leastthing.blogspot.com/,http://leastthing.blogspot.com/2017/08/inconsistencies-between-johaug-vs.html
