,platform,homepage,recent_post
0,wordpress,https://climateaudit.org,https://climateaudit.org/2017/09/02/email-dates-in-the-wikileaks-dnc-archive/
1,wordpress,https://wattsupwiththat.com/,https://wattsupwiththat.com/2017/09/09/__trashed-4/
2,wordpress,http://joannenova.com.au/,http://joannenova.com.au/2017/09/irma-path-now-squarely-a-cat-4-through-florida/
3,squarespace,http://bishophill.squarespace.com/,http://bishophill.squarespace.com/blog/2017/7/21/climate-politics-as-manichean-paranoia-by-roger-pielke-jr.html
4,custom,http://www.icecap.us/,http://icecap.us/index.php/go/joes-blog
5,blogspot,http://tomnelson.blogspot.com/,http://tomnelson.blogspot.com/2016/09/dick-lindzen-cold-and-heat-extremes.html
6,wordpress,https://nofrakkingconsensus.com/,https://nofrakkingconsensus.com/2017/04/10/obesity-diet-pills-death/
7,wordpress,http://junkscience.com/,https://junkscience.com/2017/09/action-alert-recommendations-for-epas-clean-air-scientific-advisory-committee/
8,custom,http://sppiblog.org/,
9,wordpress,https://judithcurry.com/,https://judithcurry.com/2017/09/08/hurricane-irma-eyes-florida/
10,custom,http://climaterealists.com/,
11,wordpress,http://www.drroyspencer.com/,http://www.drroyspencer.com/2017/09/uah-global-temperature-update-for-august-2017-0-41-deg-c/
12,blogspot,https://motls.blogspot.com/,https://motls.blogspot.com/2017/09/theories-cant-secure-patents-copyrights.html
13,typepad,http://www.c3headlines.com/,http://www.c3headlines.com/2017/07/over-6000-political-other-headline-links-from-1st-6-months-of-2017.html
14,wordpress,http://algorelied.com/,http://algorelied.com/?p=4302
16,wordpress,https://hypsithermal.wordpress.com/,https://hypsithermal.wordpress.com/2013/04/20/man-made-global-warming-is-dead-surprise-surprise/
19,blogspot,http://devconsultancygroup.blogspot.com/,http://devconsultancygroup.blogspot.com/2014/07/why-any-monsoon-revival-from-now-on-is.html
20,blogspot,http://friendsofco2.blogspot.com/,http://friendsofco2.blogspot.com/2014/07/gone-at-last.html
22,blogspot,http://agw-heretic.blogspot.com/,http://agw-heretic.blogspot.com/2010/03/sabbatical.html
23,wordpress,https://hauntingthelibrary.wordpress.com/,https://hauntingthelibrary.wordpress.com/2013/05/03/return-of-the-arctic-death-spiral-again/
25,wordpress,https://co2insanity.com/,https://co2insanity.com/2013/08/13/noaa-closes-600-hot-weather-stations/
26,wordpress,http://www.climate-skeptic.com/,http://www.climate-skeptic.com/2016/03/my-climate-plan-wherein-a-climate-skeptic-actually-advocates-for-a-carbon-tax.html
27,wordpress,https://anhonestclimatedebate.wordpress.com/,https://anhonestclimatedebate.wordpress.com/2013/03/31/global-warming-proof-expansion-of-antarctic-sea-ice/
28,wordpress,https://climatenonconformist.wordpress.com/,https://climatenonconformist.wordpress.com/2013/03/08/a-way-to-end-the-global-warming-debate-forever/
29,blogspot,http://globalsham.blogspot.com/,http://globalsham.blogspot.com/2011/09/hypocrite-gore-claims-86m-reality-17k.html
30,wordpress,http://www.paulmacrae.com/,http://www.paulmacrae.com/?p=308
31,wordpress,http://www.kiwithinker.com/,http://www.kiwithinker.com/2017/08/cosmics-leaving-outdoor-droplets-cloud-2/
