homepage,first_post
http://algorelied.com/,
http://antigreen.blogspot.com/,http://antigreen.blogspot.com/2009/12/another-example-of-strange-data.html
http://blog.heartland.org/,http://blog.heartland.org/2013/11/science-and-journalism-take-a-vacation/
http://climatechangepredictions.org/,
http://co2coalition.org/,
http://devconsultancygroup.blogspot.com/,
http://factsnotfantasy.blogspot.com/,
http://hallofrecord.blogspot.com/,
http://hockeyschtick.blogspot.com/,
http://itsfaircomment-climategate.blogspot.com/,
http://jennifermarohasy.com/,
http://joannenova.com.au/,
http://notrickszone.com/,
http://omnologos.com/,
http://scottishsceptic.co.uk/,
http://tomnelson.blogspot.com/,http://tomnelson.blogspot.com/2007/12/mountain-climbers-and-global-warming.html
http://wmbriggs.com/,
http://www.c3headlines.com/,
http://www.carbonfolly.com/,
http://www.cfact.org/,
http://www.climatecommonsense2.com/,
http://www.climatedepot.com/,http://www.climatedepot.com/2009/07/30/its-the-beginning-of-the-end-of-the-alarmists-strangleholdthe-carefully-stacked-cards-are-starting-to-fall/
http://www.coolibahconsulting.com.au/,
http://www.coyoteblog.com/,
http://www.drroyspencer.com/,
http://www.globalclimatescam.com/,
http://www.globalwarming.org/,
http://www.mikesmithenterprisesblog.com/,http://www.mikesmithenterprisesblog.com/2011/04/has-green-movement-been-miserable-flop.html
http://www.timworstall.com/,http://www.timworstall.com/2008/03/27/by-request/
http://www.warwickhughes.com/blog/,
https://americanelephant.wordpress.com/,https://americanelephant.wordpress.com/2010/11/10/big-government-big-bureaucracy-big-pay-big-debt/
https://carbon-sense.com/,
https://chiefio.wordpress.com/,
https://dddusmma.wordpress.com,
https://judithcurry.com/,
https://motls.blogspot.com/,https://motls.blogspot.com/2008/04/supercooling-global-warming-comes-to.html
https://notalotofpeopleknowthat.wordpress.com/,
https://stevengoddard.wordpress.com/,https://stevengoddard.wordpress.com/2010/12/30/winter-may-be-coldest-in-1000-years/
https://sunshinehours.net/,
https://tallbloke.wordpress.com,
https://wattsupwiththat.com/,https://wattsupwiththat.com/2009/12/01/climategate-grows-to-include-other-research-institutions/
https://www.climateconversation.org.nz/,
