homepage,first_post
http://algorelied.com/,http://algorelied.com/?p=5
http://antigreen.blogspot.com/,http://antigreen.blogspot.com/2004/05/another-blow-to-global-warming-over.html
http://blog.heartland.org/,http://blog.heartland.org/2010/08/net-neutralitys-vocal-minority-second-life-socialists/
http://climatechangepredictions.org/,http://climatechangepredictions.org/invasion/310
http://co2coalition.org/,http://co2coalition.org/2010/10/28/co2-data-shows-nobodys-dead-from-a-little-carbon-dioxide/
http://devconsultancygroup.blogspot.com/,http://devconsultancygroup.blogspot.com/2010/02/why-climate-change-activist-movement-is.html
http://factsnotfantasy.blogspot.com/,http://factsnotfantasy.blogspot.com/2007/09/mamoud-at-columbia-university.html
http://hallofrecord.blogspot.com/,http://hallofrecord.blogspot.com/2004/10/truth-or-consequences.html
http://hockeyschtick.blogspot.com/,http://hockeyschtick.blogspot.com/2009/11/climategate-alarmism-is-underpinned-by.html
http://itsfaircomment-climategate.blogspot.com/,http://itsfaircomment-climategate.blogspot.com/2009/12/copenhagen-climate-summit-must-fail.html
http://jennifermarohasy.com/,http://jennifermarohasy.com/2005/04/10000-funding-limit-misleading/
http://joannenova.com.au/,http://joannenova.com.au/2008/10/the-missing-hotspot/
http://notrickszone.com/,http://notrickszone.com/2010/04/09/cryosat-2-polar-mission-launched/
http://omnologos.com/,http://omnologos.com/the-omnology-manifesto/
http://scottishsceptic.co.uk/,http://scottishsceptic.co.uk/2011/02/25/how-green-and-sustainable-is-wind/
http://tomnelson.blogspot.com/,http://tomnelson.blogspot.com/2005/08/ibwo-audio-evidence-not-conclusive.html
http://wmbriggs.com/,http://wmbriggs.com/post/5/
http://www.c3headlines.com/,http://www.c3headlines.com/2008/12/agw-famed-scientist-this-makes-me-think-the-global-warmers-are-telling-lies-carbon-dioxide-is-not-the-driver.html?no_prefetch=1
http://www.carbonfolly.com/,http://www.carbonfolly.com/2010/06/29/economic-suicide/
http://www.cfact.org/,http://www.cfact.org/2001/03/05/cloudy-days-ahead-for-global-climate-models/
http://www.climatecommonsense2.com/,http://www.climatecommonsense2.com/2010/01/arrogance-of-liberalism.html
http://www.climatedepot.com/,http://www.climatedepot.com/2009/04/02/report-global-warming-insurance-follies-about-to-begin/
http://www.coolibahconsulting.com.au/,http://www.coolibahconsulting.com.au/TiP/2010/11/04/oh-say-can-you-see-an-american-ret/
http://www.coyoteblog.com/,http://www.coyoteblog.com/coyote_blog/2004/09/buying_a_compay.html
http://www.drroyspencer.com/,http://www.drroyspencer.com/2008/12/manmade-global-warming-a-dangerous-urban-legend/
http://www.globalclimatescam.com/,http://www.globalclimatescam.com/junk-science/less-than-half-of-all-published-scientists-endorse-global-warming-theory/
http://www.globalwarming.org/,
http://www.mikesmithenterprisesblog.com/,http://www.mikesmithenterprisesblog.com/2009/11/weatherbrains-netradio-appearance.html
http://www.timworstall.com/,http://www.timworstall.com/2007/09/21/ukraine-uzbekistan-all-the-same-place-right/
http://www.warwickhughes.com/blog/,http://www.warwickhughes.com/blog/?p=5
https://americanelephant.wordpress.com/,https://americanelephant.wordpress.com/2007/08/08/if-you-were-an-idiot-what-would-you-print/
https://carbon-sense.com/,https://carbon-sense.com/2007/08/12/ethanol-biofuel-is-uneconomic-unsustainable-and-un-green/
https://chiefio.wordpress.com/,https://chiefio.wordpress.com/2009/02/24/so_many_thermometers_so_little_time/
https://dddusmma.wordpress.com,https://dddusmma.wordpress.com/2010/06/29/economic-suicide/
https://judithcurry.com/,https://judithcurry.com/2010/09/15/doubt/
https://motls.blogspot.com/,https://motls.blogspot.com/2004/08/criteo-widget-test.html
https://notalotofpeopleknowthat.wordpress.com/,https://notalotofpeopleknowthat.wordpress.com/2011/09/20/record-breaking-temperaturesnot-quite-what-they-seem/
https://stevengoddard.wordpress.com/,https://stevengoddard.wordpress.com/2010/08/08/sst-anomalies-in-the-hurricane-nursery/
https://sunshinehours.net/,https://sunshinehours.net/2011/06/10/temperatures-at-a-standstill-for-10-years/
https://tallbloke.wordpress.com,https://tallbloke.wordpress.com/2009/12/11/north-pole-position-shifts/
https://wattsupwiththat.com/,https://wattsupwiththat.com/2006/11/19/watts-up-in-upper-park-weather/
https://www.climateconversation.org.nz/,https://www.climateconversation.org.nz/2005/08/warming-hits-tipping-point/
